election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,UNITED STATES SENATOR,Robert P. Casey Jr.,DEM,ELECTION DAY,97,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,UNITED STATES SENATOR,Robert P. Casey Jr.,DEM,PROVISIONAL,2,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,UNITED STATES SENATOR,Robert P. Casey Jr.,DEM,MAIL-IN,48,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,UNITED STATES SENATOR,Robert P. Casey Jr.,DEM,TOTAL,147,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,UNITED STATES SENATOR,Dave McCormick,REP,ELECTION DAY,573,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,UNITED STATES SENATOR,Dave McCormick,REP,PROVISIONAL,3,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,UNITED STATES SENATOR,Dave McCormick,REP,MAIL-IN,96,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,UNITED STATES SENATOR,Dave McCormick,REP,TOTAL,672,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,UNITED STATES SENATOR,John C. Thomas,LIB,ELECTION DAY,15,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,UNITED STATES SENATOR,John C. Thomas,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,UNITED STATES SENATOR,John C. Thomas,LIB,MAIL-IN,3,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,UNITED STATES SENATOR,John C. Thomas,LIB,TOTAL,18,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,UNITED STATES SENATOR,Leila Hazou,GRN,ELECTION DAY,3,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,UNITED STATES SENATOR,Leila Hazou,GRN,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,UNITED STATES SENATOR,Leila Hazou,GRN,MAIL-IN,1,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,UNITED STATES SENATOR,Leila Hazou,GRN,TOTAL,4,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,UNITED STATES SENATOR,Marty Selker,CST,ELECTION DAY,3,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,UNITED STATES SENATOR,Marty Selker,CST,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,UNITED STATES SENATOR,Marty Selker,CST,MAIL-IN,0,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,UNITED STATES SENATOR,Marty Selker,CST,TOTAL,3,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,ATTORNEY GENERAL,Eugene DePasquale,DEM,ELECTION DAY,91,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,ATTORNEY GENERAL,Eugene DePasquale,DEM,PROVISIONAL,1,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,ATTORNEY GENERAL,Eugene DePasquale,DEM,MAIL-IN,41,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
